F_m,F_nesklon,I_m,I_f,P of Birth,Area,City,Street,,,КЛАДР (всероссийская база с улицами и пр)
Абрамов,Евтушенко,Александр,Анна,Октябрьский,Амурская,Абакан,Абадзехская,,,
Авдеев,Степаненко,Михаил,Мария,Разумное,Архангельская,Абан,Больничный,,,
Агафонов,Штейн,Даниил,Софья,Северный,Астраханская,Абатский,Бульварная,,,
Аксёнов,Штерн,Кирилл,Василиса,Борисовка,Белгородская,Абдулино,Школьная,,,
Александров,Ягель,Алексей,Анастасия,Уразово,Брянская,Абезь,Чернядьева,,,
Алексеев,Пусько,Дмитрий,Вероника,Вейделевка,Владимирская,Абинск,Советская,,,
Андреев,Броздыка,Виктор,Алиса,Волоконовка,Волгоградская,Абрамцево,Воинцева,,,
Анисимов,Элшан-оглы,Матвей,Виктория,Пятницкое,Вологодская,Абрау-Дюрсо,Снежная,,,
Антонов,,Егор,Кира,Ивня,Воронежская,Аган,Фарраха Давлетшина,,,
Артемьев,,Иван,Маргарита,Красная Яруга,Ивановская,Агаповка,Трактовая,,,
Архипов,,Максим,Таисия,Прохоровка,Иркутская,Агвали,Советская,,,
Афанасьев,,Владимир,Ксения,Ракитное,Калининградская,Агеево,Научная,,,
Баранов,,Тимофей,Дарья,Пролетарский,Калужская,Агинское,Мусиева,,,
Белоусов,,Илья,Елена,Ровеньки,Кемеровскаяасть - Кузбасс,Агрыз,Ногмова,,,
Беляев,,Роман,Полина,Чернянка,Кировская,Адамовка,Кубанова,,,
Белов,,Артем,Агата,Томаровка,Костромская,Адыгейск,Малое Ковжино,,,
Белозёров,,Денис,Ева,Яковлево,Курганская,Азнакаево,Осиновый,,,
Беляков,,Никита,Александра,Балакирево,Курская,Азов,Маяковского,,,
Блинов,,Мирон,Ника,Мстера,Ленинградская,Айдырлинский,Фрунзе,,,
Бобров,,Лев,Екатерина,Никологоры,Липецкая,Айкино,Покровская,,,
Богданов,,Григорий,Татьяна,Анопино,Магаданская,Ак-Довурак,Кирпичная,,,
Большаков,,Арсений,Милана,Великодворский,Московская,Акбулак,Пионерская,,,
Борисов,,Степан,Любовь,Добрятино,Мурманская,Аккермановка,Зайни Султана,,,
Брагин,,Ярослав,Варвара,Золотково,Нижегородская,Аксай,Лесная,,,
Буров,,Евгений,Арина,Иванищи,Новгородская,Аксаково,Блюхера,,,
Быков,,Василий,Елизавета,Красное Эхо,Новосибирская,Аксарка,Машиностроительная,,,
Васильев,,Богдан,Вера,Мезиновский,Омская,Аксеново-Зиловское,М.Джалиля,,,
Виноградов,,Андрей,Валерия,Уршельский,Оренбургская,Аксубаево,Молодежная,,,
Вишняков,,Дамир,Мирослава,Мелехово,Орловская,Актюбинский,Кызыл-Суг,,,
Владимиров,,Федор,Ульяна,Вольгинский,Пензенская,Акутиха,Коммунаров,,,
Власов,,Сергей,Амалия,Городищи,Псковская,Акуша,Октябрьская,,,
Волков,,Демьян,Злата,Красная Горбатка,Ростовская,Акша,Ленина,,,
Воробьёв,,Николай,Олеся,Ставрово,Рязанская,Алабино,Нефтяной 5-й,,,
Воронов,,Тимур,Надежда,Воротынск,Самарская,Алагир,М.Висаитова,,,
Воронцов,,Эрик,Диана,Бабынино,Саратовская,Алапаевск,Хвойная,,,
Гаврилов,,Марк,Камилла,Муромцево,Сахалинская,Алатырь,Октября,,,
Галкин,,Павел,Евгения,Сабуровщино,Свердловская,Алдан,Амурский 8-й,,,
Герасимов,,Глеб,Юлия,Утешево,Смоленская,Алейск,Заречная,,,
Голубев,,Артемий,Ярослава,Бабынино,Тамбовская,Александров,Береговая,,,
Горбунов,,Вадим,Кристина,Асмолово,Тверская,Александровск-Сахалинский,Степная,,,
Гордеев,,Савелий,Эвелина,Барятино,Томская,Александровский Завод,Могилевская,,,
Горшков,,Борис,Лаура,Бахмутово,Тульская,Александровское,Маяковского,,,
Григорьев,,Назар,Наталья,Сильковичи,Тюменская,Алексеевка,Известинский,,,
